Nr;x;y;xright;ylow;fob;lea;lbd;rea;rbd;hnc;vnc;lcw;rcw;ma
1;127;103;374;573;29930;24;22;22;21;5;3;10;10;84
2;128;101;373;573;29996;22;22;21;21;6;2;9;9;86
3;127;101;371;573;26987;22;22;19;21;6;2;9;9;86
4;128;100;372;572;27107;23;22;19;23;6;3;10;10;85
5;129;100;372;571;26512;23;19;21;22;6;3;9;9;86
6;129;99;374;570;27888;10;10;10;9;3;11;20;21;20
7;128;99;373;570;30025;10;9;9;10;2;11;22;19;20
8;127;99;374;569;27945;10;10;11;10;2;11;21;21;20
9;128;98;373;570;29991;11;9;10;9;3;11;21;23;20
10;130;97;374;570;26317;9;11;9;10;2;11;21;22;20
11;129;97;376;571;28171;22;23;22;23;5;2;10;9;86
12;130;98;379;572;28210;22;21;22;22;6;3;9;10;86
13;131;99;379;572;27047;20;20;22;21;5;3;10;9;86
14;132;100;380;571;28306;21;22;22;22;6;2;9;10;86
15;130;101;382;570;27226;21;21;20;20;6;3;10;10;82
16;130;101;383;570;130986;43;43;42;43;11;5;21;42;83
17;129;100;383;570;130986;43;43;43;42;11;5;21;43;83
18;128;101;383;569;68180;41;41;42;43;11;6;21;20;82
19;127;101;383;571;126045;43;43;42;43;11;6;23;23;86
20;126;99;385;570;131670;42;42;42;43;11;3;10;19;86
21;126;100;387;571;26726;22;20;21;21;6;3;11;10;86
22;126;100;388;571;26818;21;23;20;23;6;3;10;11;84
23;128;99;387;573;26704;23;21;22;22;6;2;9;10;86
24;129;100;388;573;27132;22;22;20;21;6;3;9;9;84
25;127;100;388;574;30275;22;23;20;22;6;2;9;10;86
26;127;100;388;572;61896;19;22;22;23;5;11;43;43;20
27;128;100;386;572;65292;20;43;23;42;11;11;43;42;18
28;126;100;387;572;70351;23;43;24;43;11;11;43;41;20
29;125;100;387;572;61207;21;42;23;43;11;11;42;41;20
30;125;102;386;571;65703;23;21;22;22;6;11;42;42;18
31;124;102;386;569;27874;20;21;21;22;6;3;10;10;85
32;123;103;387;569;29343;24;23;20;22;5;3;11;10;85
33;124;104;387;569;31937;23;22;24;23;6;3;9;10;82
34;124;105;387;569;31055;20;23;21;21;6;3;9;10;85
35;126;105;388;568;27679;22;24;21;19;5;3;11;10;85
36;126;103;388;569;66737;21;43;21;43;11;11;43;43;18
37;126;102;389;570;26989;22;42;23;43;11;11;43;43;17
38;125;102;388;571;132929;41;41;43;41;11;6;20;43;86
39;124;103;390;570;133380;43;43;43;43;11;6;23;41;83
40;124;104;390;571;133614;43;43;41;43;11;6;21;42;84
41;123;103;392;572;134534;43;42;42;42;11;6;19;43;84
42;124;102;393;573;135113;43;43;43;43;11;6;22;43;84
43;125;102;393;572;28470;20;24;21;21;6;2;9;9;85
44;124;101;394;574;30110;24;22;24;20;5;2;9;9;86
45;125;100;394;575;32687;10;10;10;11;2;12;24;22;21
46;125;101;395;575;28916;10;9;9;11;2;12;20;21;18
47;124;101;398;575;30828;10;9;10;9;3;11;23;22;19
48;122;102;399;575;30279;10;9;10;9;3;11;21;22;21
49;123;102;397;576;29626;22;20;23;20;5;3;10;10;86
50;122;102;396;577;30003;22;19;21;24;6;3;10;9;86
51;123;101;397;577;136928;43;43;40;43;11;5;21;43;87
52;123;101;395;578;134663;43;43;43;43;12;5;22;44;86
53;121;101;396;578;137333;21;21;22;21;6;3;9;9;43
54;121;100;396;579;135476;21;23;22;23;5;3;11;9;41
55;120;101;395;580;29058;21;21;21;21;6;2;10;9;85
56;121;100;396;582;32045;23;22;22;20;6;3;9;9;86
57;121;99;396;582;138283;21;23;21;22;6;3;11;11;40
58;121;99;399;582;130770;21;24;24;21;6;3;11;10;44
59;121;97;400;582;34646;23;21;22;23;6;3;10;9;85
60;122;95;399;582;29679;22;23;21;23;5;3;9;10;87
1;137;263;225;342;10763;12;13;13;13;3;2;5;6;51
2;137;263;224;344;10053;12;12;12;13;3;1;6;6;51
3;137;264;224;345;11175;12;14;13;12;4;1;6;5;50
4;138;263;222;344;11150;14;13;14;12;4;2;6;6;51
5;139;263;222;344;9270;12;14;13;13;3;1;5;6;52
6;139;263;225;344;11134;5;6;6;6;2;7;13;13;11
7;139;262;226;343;9495;5;5;6;6;1;7;13;12;11
8;138;263;228;341;9334;6;6;5;6;2;7;13;12;10
9;137;262;227;343;11088;6;6;5;6;1;7;14;13;11
10;137;263;225;343;10525;5;5;6;6;1;7;13;13;11
11;137;263;223;342;10219;13;12;12;13;3;1;6;6;51
12;137;263;225;342;11047;13;14;13;13;3;2;5;5;51
13;137;262;227;343;11153;14;14;14;14;3;2;6;6;51
14;137;262;229;342;11707;14;13;12;12;3;2;6;5;51
15;136;261;230;343;9475;13;13;13;14;3;2;5;6;49
16;135;261;230;344;47472;25;26;26;26;7;4;12;24;50
17;134;261;232;343;47746;26;26;26;26;7;4;12;26;51
18;134;260;231;343;22981;26;25;25;25;7;3;14;13;50
19;135;259;231;343;47540;26;26;26;24;7;4;12;13;51
20;134;261;233;344;47775;26;26;26;26;7;2;6;13;51
21;134;261;232;343;11415;13;12;11;12;3;1;6;6;51
22;134;261;235;344;9823;13;12;12;13;3;2;5;6;52
23;133;261;236;345;11403;13;13;13;13;3;1;6;6;52
24;133;260;238;345;11031;13;12;13;12;4;1;6;6;52
25;134;260;237;343;9767;14;12;14;14;3;1;5;6;50
26;135;261;236;343;25909;13;12;13;12;4;7;26;26;12
27;135;262;237;342;24328;14;26;14;25;7;7;26;26;11
28;136;263;236;341;25788;14;26;12;26;7;7;26;26;11
29;137;263;236;342;23546;12;25;12;26;7;7;25;26;11
30;137;262;239;341;23651;12;13;12;13;3;7;25;25;11
31;136;262;241;339;11128;11;12;12;13;3;2;5;5;51
32;137;261;243;338;10476;13;12;12;12;3;1;6;6;51
33;137;261;245;336;10150;12;12;12;13;3;2;6;6;50
34;136;259;248;336;11608;12;13;11;12;3;2;6;6;48
35;136;258;248;337;10335;12;13;12;13;3;1;6;6;48
36;136;259;248;338;26519;12;25;14;24;7;7;26;26;11
37;134;259;247;337;10231;13;25;13;25;7;7;26;25;11
38;135;258;248;337;48562;25;25;25;25;7;3;12;26;47
39;135;259;248;338;48787;25;25;25;25;7;4;14;26;51
40;137;258;247;338;50092;25;24;25;25;6;3;14;26;50
41;139;259;248;338;49796;25;25;24;25;7;3;13;26;51
42;140;257;248;338;50294;25;25;25;25;7;3;13;25;50
