Nr;x;y;xright;ylow;fob;lea;lbd;rea;rbd;hnc;vnc;lcw;rcw;ma
1;137;263;225;342;10763;12;13;13;13;3;2;5;6;51
2;137;263;224;344;10053;12;12;12;13;3;1;6;6;51
3;137;264;224;345;11175;12;14;13;12;4;1;6;5;50
4;138;263;222;344;11150;14;13;14;12;4;2;6;6;51
5;139;263;222;344;9270;12;14;13;13;3;1;5;6;52
6;139;263;225;344;11134;5;6;6;6;2;7;13;13;11
7;139;262;226;343;9495;5;5;6;6;1;7;13;12;11
8;138;263;228;341;9334;6;6;5;6;2;7;13;12;10
9;137;262;227;343;11088;6;6;5;6;1;7;14;13;11
10;137;263;225;343;10525;5;5;6;6;1;7;13;13;11
11;137;263;223;342;10219;13;12;12;13;3;1;6;6;51
12;137;263;225;342;11047;13;14;13;13;3;2;5;5;51
13;137;262;227;343;11153;14;14;14;14;3;2;6;6;51
14;137;262;229;342;11707;14;13;12;12;3;2;6;5;51
15;136;261;230;343;9475;13;13;13;14;3;2;5;6;49
16;135;261;230;344;47472;25;26;26;26;7;4;12;24;50
17;134;261;232;343;47746;26;26;26;26;7;4;12;26;51
18;134;260;231;343;22981;26;25;25;25;7;3;14;13;50
19;135;259;231;343;47540;26;26;26;24;7;4;12;13;51
20;134;261;233;344;47775;26;26;26;26;7;2;6;13;51
21;134;261;232;343;11415;13;12;11;12;3;1;6;6;51
22;134;261;235;344;9823;13;12;12;13;3;2;5;6;52
23;133;261;236;345;11403;13;13;13;13;3;1;6;6;52
24;133;260;238;345;11031;13;12;13;12;4;1;6;6;52
25;134;260;237;343;9767;14;12;14;14;3;1;5;6;50
26;135;261;236;343;25909;13;12;13;12;4;7;26;26;12
27;135;262;237;342;24328;14;26;14;25;7;7;26;26;11
28;136;263;236;341;25788;14;26;12;26;7;7;26;26;11
29;137;263;236;342;23546;12;25;12;26;7;7;25;26;11
30;137;262;239;341;23651;12;13;12;13;3;7;25;25;11
31;136;262;241;339;11128;11;12;12;13;3;2;5;5;51
32;137;261;243;338;10476;13;12;12;12;3;1;6;6;51
33;137;261;245;336;10150;12;12;12;13;3;2;6;6;50
34;136;259;248;336;11608;12;13;11;12;3;2;6;6;48
35;136;258;248;337;10335;12;13;12;13;3;1;6;6;48
36;136;259;248;338;26519;12;25;14;24;7;7;26;26;11
37;134;259;247;337;10231;13;25;13;25;7;7;26;25;11
38;135;258;248;337;48562;25;25;25;25;7;3;12;26;47
39;135;259;248;338;48787;25;25;25;25;7;4;14;26;51
40;137;258;247;338;50092;25;24;25;25;6;3;14;26;50
41;139;259;248;338;49796;25;25;24;25;7;3;13;26;51
42;140;257;248;338;50294;25;25;25;25;7;3;13;25;50
43;140;256;250;339;11532;13;13;13;11;3;1;5;6;49
44;139;257;253;341;11666;13;13;14;13;4;1;6;6;51
45;139;257;252;340;12209;6;6;6;5;1;7;13;13;12
46;139;257;254;339;12119;6;6;5;6;1;7;13;14;11
47;140;257;255;340;12957;6;5;5;6;2;7;12;14;12
48;141;256;254;338;11376;6;5;6;5;1;7;13;13;13
49;140;255;256;340;10831;12;12;13;14;4;2;5;6;51
50;142;255;256;340;12865;13;12;13;14;3;1;5;6;51
51;142;257;256;339;50305;25;25;25;25;7;3;14;26;50
52;142;257;254;341;51968;26;25;25;24;7;3;12;26;50
53;143;256;254;340;50540;12;13;12;12;3;1;6;6;26
54;144;257;253;339;51460;13;14;13;12;3;2;6;5;28
55;142;258;252;339;11565;14;13;12;12;3;1;6;5;49
56;142;257;253;340;11059;12;14;12;12;3;2;6;5;48
57;142;257;255;340;51014;12;13;12;12;3;1;6;6;28
58;142;258;253;340;50135;13;14;13;13;3;2;6;6;26
59;141;258;255;339;10988;13;13;13;13;4;2;6;7;49
60;139;258;256;340;11257;11;12;13;13;4;1;5;6;50
