Frame #1 {'emotion': 'neutral', 'plausibility': 1.0, 'belief': 0.7080759332429788}
Frame #2 {'emotion': 'neutral', 'plausibility': 0.72, 'belief': 0.4819560009071356}
Frame #3 {'emotion': 'neutral', 'plausibility': 0.89, 'belief': 0.6185660290703627}
Frame #4 {'emotion': 'neutral', 'plausibility': 0.99, 'belief': 0.6856783367786922}
Frame #5 {'emotion': 'neutral', 'plausibility': 0.92, 'belief': 0.6831548230880542}
Frame #6 {'emotion': 'disgust', 'plausibility': 1.0, 'belief': 0.9243563375}
Frame #7 {'emotion': 'disgust', 'plausibility': 1.0, 'belief': 0.9659056500000002}
Frame #8 {'emotion': 'disgust', 'plausibility': 1.0, 'belief': 0.9359804250000002}
Frame #9 {'emotion': 'disgust', 'plausibility': 1.0, 'belief': 0.9243563375}
Frame #10 {'emotion': 'disgust', 'plausibility': 1.0, 'belief': 0.963341075}
Frame #11 {'emotion': 'neutral', 'plausibility': 1.0, 'belief': 0.7152428198528098}
Frame #12 {'emotion': 'neutral', 'plausibility': 1.0, 'belief': 0.6998239665755265}
Frame #13 {'emotion': 'neutral', 'plausibility': 1.0, 'belief': 0.6871662545995135}
Frame #14 {'emotion': 'neutral', 'plausibility': 1.0, 'belief': 0.6800201182749861}
Frame #15 {'emotion': 'neutral', 'plausibility': 1.0, 'belief': 0.7365857710503864}
Frame #16 {'emotion': 'joy', 'plausibility': 0.9, 'belief': 0.8899555955028366}
Frame #17 {'emotion': 'joy', 'plausibility': 0.96, 'belief': 0.9606490287763634}
Frame #18 {'emotion': 'joy', 'plausibility': 0.57, 'belief': 0.4338657243293482}
Frame #19 {'emotion': 'joy', 'plausibility': 0.98, 'belief': 0.9751001005870308}
Frame #20 {'emotion': 'joy', 'plausibility': 0.96, 'belief': 0.9594397804221153}
Frame #21 {'emotion': 'neutral', 'plausibility': 0.77, 'belief': 0.4882662460928199}
Frame #22 {'emotion': 'neutral', 'plausibility': 0.9, 'belief': 0.6458248985071449}
Frame #23 {'emotion': 'neutral', 'plausibility': 1.0, 'belief': 0.6871662545995135}
Frame #24 {'emotion': 'neutral', 'plausibility': 0.95, 'belief': 0.6485892525633604}
Frame #25 {'emotion': 'neutral', 'plausibility': 0.99, 'belief': 0.7306762519074447}
Frame #26 {'emotion': 'neutral', 'plausibility': 0.58, 'belief': 0.14992000850651788}
Frame #27 {'emotion': 'joy', 'plausibility': 0.55, 'belief': 0.48846545087787985}
Frame #28 {'emotion': 'joy', 'plausibility': 0.55, 'belief': 0.48728242264611354}
Frame #29 {'emotion': 'joy', 'plausibility': 0.44, 'belief': 0.36967684275624363}
Frame #30 {'emotion': 'neutral', 'plausibility': 0.98, 'belief': 0.3425741194381268}
Frame #31 {'emotion': 'neutral', 'plausibility': 0.9, 'belief': 0.6239527328479328}
Frame #32 {'emotion': 'neutral', 'plausibility': 1.0, 'belief': 0.7058787428271663}
Frame #33 {'emotion': 'neutral', 'plausibility': 1.0, 'belief': 0.7152428198528098}
Frame #34 {'emotion': 'neutral', 'plausibility': 0.9, 'belief': 0.5967499658792855}
Frame #35 {'emotion': 'neutral', 'plausibility': 1.0, 'belief': 0.7068238168436124}
Frame #36 {'emotion': 'joy', 'plausibility': 0.45, 'belief': 0.4023730598423791}
Frame #37 {'emotion': 'neutral', 'plausibility': 0.65, 'belief': 0.41260018220571226}
Frame #38 {'emotion': 'joy', 'plausibility': 0.95, 'belief': 0.944355438348862}
Frame #39 {'emotion': 'joy', 'plausibility': 0.93, 'belief': 0.920567766035311}
Frame #40 {'emotion': 'joy', 'plausibility': 0.94, 'belief': 0.930548858073241}
Frame #41 {'emotion': 'joy', 'plausibility': 0.88, 'belief': 0.8681569369825496}
Frame #42 {'emotion': 'joy', 'plausibility': 0.79, 'belief': 0.7712930183422686}
Frame #43 {'emotion': 'neutral', 'plausibility': 1.0, 'belief': 0.6760492643002223}
Frame #44 {'emotion': 'neutral', 'plausibility': 1.0, 'belief': 0.6778078302274193}
Frame #45 {'emotion': 'disgust', 'plausibility': 1.0, 'belief': 0.9571143125000001}
Frame #46 {'emotion': 'disgust', 'plausibility': 1.0, 'belief': 0.9150580625000002}
Frame #47 {'emotion': 'disgust', 'plausibility': 1.0, 'belief': 0.9552044624999998}
Frame #48 {'emotion': 'disgust', 'plausibility': 1.0, 'belief': 0.9797136}
Frame #49 {'emotion': 'neutral', 'plausibility': 1.0, 'belief': 0.6987197168493664}
Frame #50 {'emotion': 'neutral', 'plausibility': 1.0, 'belief': 0.6426322253786068}
Frame #51 {'emotion': 'joy', 'plausibility': 0.86, 'belief': 0.8518636838604972}
Frame #52 {'emotion': 'joy', 'plausibility': 0.81, 'belief': 0.7952495853864333}
Frame #53 {'emotion': 'sorrow', 'plausibility': 0.98, 'belief': 0}
Frame #54 {'emotion': 'sorrow', 'plausibility': 0.99, 'belief': 0}
Frame #55 {'emotion': 'neutral', 'plausibility': 1.0, 'belief': 0.68051980579359}
Frame #56 {'emotion': 'neutral', 'plausibility': 1.0, 'belief': 0.6898661189532547}
Frame #57 {'emotion': 'sorrow', 'plausibility': 0.98, 'belief': 0}
Frame #58 {'emotion': 'sorrow', 'plausibility': 0.97, 'belief': 0}
Frame #59 {'emotion': 'neutral', 'plausibility': 1.0, 'belief': 0.6974791305534622}
Frame #60 {'emotion': 'neutral', 'plausibility': 0.9, 'belief': 0.6208028116784965}
